class,sound_id,name,subclass,subclass_label,subclass_size,is_largest_subclass,similarity_to_center,umap_x,umap_y
explosion,108640,Distant explosion.wav,0,a single sharp instant crack,86,0,0.6465,-7.6178,-2.5962
explosion,108641,Nearby explosion with debris.wav,0,a single sharp instant crack,86,0,0.7799,-7.5229,0.3981
explosion,110564,EMP Blast.wav,1,a noisy distorted blast,114,1,0.3706,-9.8719,-0.8308
explosion,117095,ArtilleryFireSynthetic.wav,0,a single sharp instant crack,86,0,0.8085,-8.5135,-0.1225
explosion,117096,ArtilleryFireSynthetic2.wav,0,a single sharp instant crack,86,0,0.9081,-8.0697,-0.7997
explosion,117098,ExplosionBombBlastAmbient.wav,0,a single sharp instant crack,86,0,0.7941,-8.6327,-0.9912
explosion,120573,ExplosionBombBlastAmbient6.wav,0,a single sharp instant crack,86,0,0.7686,-8.2113,0.366
explosion,120712,ExplosionBombBlastAmbient7.wav,0,a single sharp instant crack,86,0,0.788,-8.1342,0.2694
explosion,132542,Firecracker_Rocket_Shoot_Blast.wav,0,a single sharp instant crack,86,0,0.572,-6.824,-3.9519
explosion,154679,f016ms_3_3.wav,1,a noisy distorted blast,114,1,0.4524,-9.071,3.0913
explosion,160037,emp blast2.wav,1,a noisy distorted blast,114,1,0.3543,-9.9436,-1.043
explosion,165909,Explosion 3.wav,1,a noisy distorted blast,114,1,0.6113,-7.9197,1.1655
explosion,165910,Explosion 2.wav,0,a single sharp instant crack,86,0,0.681,-7.7525,0.9783
explosion,165911,Explosion 1.wav,0,a single sharp instant crack,86,0,0.7733,-7.8264,0.7331
explosion,167242,fireworkblast.wav,0,a single sharp instant crack,86,0,0.7694,-6.6535,-3.1152
explosion,172379,ExplosionBombBlastAmbientA.wav,0,a single sharp instant crack,86,0,0.8451,-8.1944,-0.3254
explosion,209304,Fireworks BIG BLAST 3,0,a single sharp instant crack,86,0,0.8178,-7.3364,-3.2505
explosion,209305,Fireworks BIG BLAST 2,0,a single sharp instant crack,86,0,0.8483,-7.2384,-3.2881
explosion,209306,Fireworks BIG BLAST 1,0,a single sharp instant crack,86,0,0.8078,-7.1943,-3.3054
explosion,209984,ExplosionBombBlastAmbientE.wav,0,a single sharp instant crack,86,0,0.8276,-8.2745,-0.1982
explosion,210187,Gun Blast.wav,1,a noisy distorted blast,114,1,0.4062,-9.3132,-1.2908
